adamax,adamax_learning_rate,alpha_momentum,batch_size,error_increase_tolerance,lambda_tikhonov,learning_rate,lr_decay_tau,max_epochs,min_epochs,patience,topology,stats,mean_mean_euclidean_error,mean_mean_squared_error,var_mean_euclidean_error,var_mean_squared_error,mean_best_validation_training_error
False,0.2,0.92,8,1e-06,1e-09,0.09,185,500,150,5,"{0: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 1: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 2: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 3: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 4: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 5: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 6: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 7: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 8: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 9: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 10: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 11: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 12: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 13: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 14: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 15: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 16: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 17: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 18: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 19: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 20: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 21: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 22: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 23: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 24: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 25: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 26: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 27: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 28: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 29: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 30: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 31: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 32: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 33: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 34: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 35: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 36: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 37: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 38: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 39: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 40: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 41: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 42: ['output_2', 'identity', [], []], 43: ['output_2', 'identity', [], []], 44: ['output_2', 'identity', [], []]}","{'patience': 5, 'learning_rate': 0.01125, 'adamax_learning_rate': 0.025, 'alpha_momentum': 0.92, 'exp_decay_rate_1': 0.9, 'adamax': False, 'lr_decay_tau': 185, 'training_set_len': 534, 'max_epochs': 500, 'eta_tau': 0.0001125, 'retrainig_es_error': -1.2, 'error_increase_tolerance': 1e-06, 'lambda_tikhonov': 1e-09, 'exp_decay_rate_2': 0.999, 'minibatch_size': 8, 'nesterov': False, 'min_epochs': 150, 'epochs': [500, 500, 475], 'mean_metrics': [0.11661548014305083, 0.01892166820822091], 'variance_metrics': [8.428556961910583e-05, 6.271248616888602e-06], 'mean_best_validation_training_error': 0.013412818628941878}",0.1166154801430508,0.0189216682082209,8.428556961910583e-05,6.271248616888602e-06,0.0134128186289418
False,0.3,0.92,8,1e-06,1e-09,0.09,185,500,150,5,"{0: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 1: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 2: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 3: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 4: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 5: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 6: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 7: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 8: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 9: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 10: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 11: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 12: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 13: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 14: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 15: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 16: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 17: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 18: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 19: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 20: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 21: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 22: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 23: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 24: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 25: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 26: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 27: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 28: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 29: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 30: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 31: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 32: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 33: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 34: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 35: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 36: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 37: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 38: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 39: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 40: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 41: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 42: ['output_2', 'identity', [], []], 43: ['output_2', 'identity', [], []], 44: ['output_2', 'identity', [], []]}","{'patience': 5, 'learning_rate': 0.01125, 'adamax_learning_rate': 0.0375, 'alpha_momentum': 0.92, 'exp_decay_rate_1': 0.9, 'adamax': False, 'lr_decay_tau': 185, 'training_set_len': 534, 'max_epochs': 500, 'eta_tau': 0.0001125, 'retrainig_es_error': -1.2, 'error_increase_tolerance': 1e-06, 'lambda_tikhonov': 1e-09, 'exp_decay_rate_2': 0.999, 'minibatch_size': 8, 'nesterov': False, 'min_epochs': 150, 'epochs': [500, 500, 500], 'mean_metrics': [0.10915624698941083, 0.017559738737402488], 'variance_metrics': [2.6903807982749808e-05, 3.526827829520845e-06], 'mean_best_validation_training_error': 0.011177390487966144}",0.1091562469894108,0.0175597387374024,2.6903807982749808e-05,3.526827829520845e-06,0.0111773904879661
False,0.1,0.92,8,1e-06,1e-09,0.09,185,500,150,5,"{0: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 1: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 2: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 3: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 4: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 5: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 6: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 7: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 8: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 9: ['input_0', None, [], [10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]], 10: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 11: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 12: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 13: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 14: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 15: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 16: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 17: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 18: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 19: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 20: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 21: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 22: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 23: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 24: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 25: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 26: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 27: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 28: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 29: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 30: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 31: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 32: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 33: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 34: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 35: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 36: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 37: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 38: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 39: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 40: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 41: ['hidden_1', 'sigmoid', [1], [42, 43, 44]], 42: ['output_2', 'identity', [], []], 43: ['output_2', 'identity', [], []], 44: ['output_2', 'identity', [], []]}","{'patience': 5, 'learning_rate': 0.01125, 'adamax_learning_rate': 0.0125, 'alpha_momentum': 0.92, 'exp_decay_rate_1': 0.9, 'adamax': False, 'lr_decay_tau': 185, 'training_set_len': 534, 'max_epochs': 500, 'eta_tau': 0.0001125, 'retrainig_es_error': -1.2, 'error_increase_tolerance': 1e-06, 'lambda_tikhonov': 1e-09, 'exp_decay_rate_2': 0.999, 'minibatch_size': 8, 'nesterov': False, 'min_epochs': 150, 'epochs': [500, 500, 500], 'mean_metrics': [0.11340910026521735, 0.018520178273500634], 'variance_metrics': [8.033366915070568e-05, 1.2592921326627512e-06], 'mean_best_validation_training_error': 0.012072899160754201}",0.1134091002652173,0.0185201782735006,8.033366915070568e-05,1.2592921326627512e-06,0.0120728991607542
